Persona File,User Type,Level,Specialization,Hero Video ID,Hero Video Title,Phase 1 Video ID,Phase 1 Video Title,Phase 2 Video ID,Phase 2 Video Title,Phase 3 Video ID,Phase 3 Video Title,Phase 4 Video ID,Phase 4 Video Title
entry_tech_backend.json,tech,entry,backend,kOHPCvM4dgI,Level up your career in Dream Companies,sg5pwazWomM,DSA beginner level at Scaler,IkYjxLHyw98,DSA intermediate level at Scaler,_dl8KiU1HYY,Importance of DSA for every engineer,1bvdwgDiX1Q,How to prep for your first interviews?
entry_tech_frontend.json,tech,entry,frontend,kOHPCvM4dgI,Level up your career in Dream Companies,sg5pwazWomM,DSA beginner level at Scaler,IkYjxLHyw98,DSA intermediate level at Scaler,_dl8KiU1HYY,Importance of DSA for every engineer,1bvdwgDiX1Q,How to prep for your first interviews?
entry_tech_fullstack.json,tech,entry,fullstack,kOHPCvM4dgI,Level up your career in Dream Companies,sg5pwazWomM,DSA beginner level at Scaler,IkYjxLHyw98,DSA intermediate level at Scaler,_dl8KiU1HYY,Importance of DSA for every engineer,1bvdwgDiX1Q,How to prep for your first interviews?
entry_tech_devops.json,tech,entry,devops,kOHPCvM4dgI,Level up your career in Dream Companies,sg5pwazWomM,DSA beginner level at Scaler,IkYjxLHyw98,DSA intermediate level at Scaler,_dl8KiU1HYY,Importance of DSA for every engineer,1bvdwgDiX1Q,How to prep for your first interviews?
entry_tech_data.json,tech,entry,data,EGihqTaWgJ0,What problem statements do Data Scientists work on?,EGihqTaWgJ0,What problem statements do Data Scientists work on?,MSRSZTP0Fl8,Software Engineering to Data Science & ML,IkYjxLHyw98,DSA intermediate level at Scaler,1bvdwgDiX1Q,How to prep for your first interviews?
entry_nontech_backend.json,nontech,entry,backend,o5f766FvnoI,Switch into tech without coding experience,o5f766FvnoI,Switch into tech without coding experience,D3C9-R2cY6M,Why projects are MUST-HAVE for non-techies!,sg5pwazWomM,DSA beginner level at Scaler,1bvdwgDiX1Q,How to prep for your first interviews?
entry_nontech_frontend.json,nontech,entry,frontend,o5f766FvnoI,Switch into tech without coding experience,o5f766FvnoI,Switch into tech without coding experience,D3C9-R2cY6M,Why projects are MUST-HAVE for non-techies!,sg5pwazWomM,DSA beginner level at Scaler,1bvdwgDiX1Q,How to prep for your first interviews?
entry_nontech_fullstack.json,nontech,entry,fullstack,o5f766FvnoI,Switch into tech without coding experience,o5f766FvnoI,Switch into tech without coding experience,D3C9-R2cY6M,Why projects are MUST-HAVE for non-techies!,sg5pwazWomM,DSA beginner level at Scaler,1bvdwgDiX1Q,How to prep for your first interviews?
entry_nontech_devops.json,nontech,entry,devops,o5f766FvnoI,Switch into tech without coding experience,o5f766FvnoI,Switch into tech without coding experience,D3C9-R2cY6M,Why projects are MUST-HAVE for non-techies!,sg5pwazWomM,DSA beginner level at Scaler,1bvdwgDiX1Q,How to prep for your first interviews?
entry_nontech_data.json,nontech,entry,data,VOPEEQeph48,Transition into DSML without coding or technical experience,VOPEEQeph48,Transition into DSML without coding or technical experience,CZyIuVQnLPQ,Transition into Data Science/ ML/ Analytics without experience,D3C9-R2cY6M,Why projects are MUST-HAVE for non-techies!,1bvdwgDiX1Q,How to prep for your first interviews?
mid_tech_backend.json,tech,mid,backend,kOHPCvM4dgI,Level up your career in Dream Companies,_dl8KiU1HYY,Importance of DSA for every engineer,DXWAqGiVgkU,Services developer paths 3-6 years,o39hGS4ef6E,HLD (High Level Design) at Scaler,9d4zRIHbPYI,How to set yourself apart during Interviews?
mid_tech_frontend.json,tech,mid,frontend,kOHPCvM4dgI,Level up your career in Dream Companies,_dl8KiU1HYY,Importance of DSA for every engineer,DXWAqGiVgkU,Services developer paths 3-6 years,o39hGS4ef6E,HLD (High Level Design) at Scaler,9d4zRIHbPYI,How to set yourself apart during Interviews?
